popsize,unemployed,avgsalary,livarea,invests,factoriescap,conscap,consnewareas,retailturnover,foodservturnover,lat,lon,saldo
0.01693609645475739,0.006998533979654608,0.17808988599224287,0.3315267965111525,0.007399383116575572,0.0008372503244340468,0.0037192649544640793,0.0005002728971638245,0.012559895062845772,0.0048020188441975495,0.6961851145419484,0.22321430501160247,1.0
0.053755405792155264,0.006697076978574063,0.20918582608400746,0.3167388594839109,0.017900523451161224,0.03914825587971207,0.005743638671881901,0.00786544354244758,0.046985614437683315,0.01376292026777106,0.6782649515263843,0.2206598861894663,0.0
0.07624509772781111,0.0072016330245652654,0.26164752410497577,0.3757531159223486,0.0097024291704382,0.023253674742194207,0.006671647153470655,0.01140995120715229,0.015832489117263975,0.011450386131818167,0.8652317184366515,0.1793267731395534,1.0
0.03836361510062814,0.00763272450513211,0.20433769649385083,0.3233861709890111,0.0070906344886387225,0.006431603382226765,0.00394711155458992,0.0018026318920874636,0.022919398828128087,0.007988843724138604,0.6953820339860891,0.2215538317091958,1.0
0.07294366135125145,0.007415339985275016,0.21343746582876172,0.3252118306286286,0.009384624237139125,0.017240757835259135,0.003902133927641607,0.0014847440319747177,0.02629820294100988,0.005706105597810512,0.7078623222360017,0.22135374233054947,1.0
0.05487370188903854,0.0071082545172011504,0.2856519244729294,0.37343844263469417,0.016150444032693643,0.023914615350659082,0.006498523953100046,0.008456187809326957,0.030732418036562882,0.004462384709397963,0.8554272394640272,0.1767174295315395,0.0
0.04440346890213238,0.015162523971085728,0.2789659520688413,0.41354335634993117,0.008192176012205067,0.021049083898957936,0.006461464626088856,0.008779921387750116,0.02128992280844043,0.005125758995737414,0.8572649294016698,0.1830572468540208,0.0
0.04192254496013102,0.007040424096515983,0.24538698170288262,0.37456547315286776,0.008689408608067956,0.01929728562865638,0.006901708527639061,0.008750872202683115,0.01635980566987856,0.004495296206577184,0.8654796379302382,0.18132414409094524,1.0
0.04746975239597892,0.0074184918203442154,0.17318364750684231,0.3034260978499773,0.016497570803557217,0.032937476690645,0.003790228365631254,0.007892561482380198,0.0419362169886241,0.01306669646661016,0.6783027970496486,0.22121963645636236,0.0
0.048241848064199844,0.00770329663565662,0.24737149950154289,0.321394087302924,0.015473734968310367,0.03501519908854086,0.0038947278827725436,0.00835423565955953,0.04258262959690899,0.013523419911310817,0.6782966933596799,0.22065251780618017,0.0
0.030462400439662446,0.007242460957383399,0.14646420177599692,0.30965392804483083,0.006261228922061552,0.002670538070256096,0.003714704447492043,0.0009862519675302916,0.018416849615896583,0.004577418492122129,0.6939933372829722,0.22304874313996662,1.0
0.028942848227212496,0.006863514031401392,0.18494045279869406,0.43168016551860433,0.006044869124822482,0.013195062330612687,0.003714704447492043,0.0012846343009745246,0.005761335055509839,0.004205115581942284,0.8633097668265958,0.18755878923659453,1.0
0.029099440571493714,0.007289223189212992,0.2808736291239985,0.4646822687598938,0.006107082866113981,0.01748450979784539,0.006370703534531985,0.00837474323437401,0.007574232076751782,0.012438763565943574,0.8639950626912981,0.1893885547687669,0.0
